,id,Name,Catagory,Description,Veg_non,Nutrient,Diet,Cluster
0,0.0,summer squash salad                                                           ,salad       ,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves                                                                                                                                                                                                                                                                                                                                                                                                     ",1,fiber         ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                                   ,6
1,0.0031847133757961785,chicken minced salad                                                          ,salad       ,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts                                                                                                                                                                                                                                                                                                                                                         ",0,fiber         ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                         ,4
2,0.006369426751592357,sweet chilli almonds                                                          ,chilli      ,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",1,vitamin_a     ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                    ,1
3,0.009554140127388535,tricolour salad                                                               ,salad       ,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts                                                                                                                                                                                                                                                                                                                                                                                                         ",1,fiber         ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                           ,4
4,0.012738853503184714,chocolate nero cookies                                                        ,cookie      ,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar                                                                                                                                                                                                                                                                                                                                                                                                                                              ",1,magnesium     ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,1
5,0.01592356687898089,cream of almond soup                                                          ,soup        ,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes                                                                                                                                                                                                                                                                                                                                                                                                                              ",1,calcium       ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                 ,4
6,0.01910828025477707,broccoli and almond soup                                                      ,soup        ,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",1,vitamin_c     ,alkaline_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet                                                                                                    ,6
7,0.022292993630573247,coconut lime quinoa salad                                                     ,salad       ,"uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, few shakes of black pepper, for the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil                                                                                                                                                                                                                                                                        ",1,fiber         ,alkaline_diet low_fat_diet paleo_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                            ,4
8,0.025477707006369428,lemon honey glazed sous vide corn on the cob                                  ,corn        ,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer                                                                                                                                                                                                                                                                                                                                                                                                        ",0,protien       ,low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet                                                                                                               ,2
9,0.028662420382165606,"peach, raspberry and nuts smoothie                                          ",smoothie    ,"fresh raspberries, ripe banana, almond, fresh peach slices, low fat yogurt, fresh raspeberry, peach fruit slices, almonds                                                                                                                                                                                                                                                                                                                                                                                                                                             ",1,vitamin_e     ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet                                                                                      ,7
10,0.03184713375796178,almond and cranberry poha                                                     ,poha        ,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",1,iron          ,gluten_free_diet vegan_diet low_fat_diet high_fiber_diet                                                                                                                                ,4
11,0.03503184713375796,almond and raw banana galawat                                                 ,banana      ,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter                                                                                                                                                                                                                                                                                                                                                                       ",1,selenium      ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                                 ,0
12,0.03821656050955414,baked namakpara with roasted almond dip                                       ,dip         ,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water                                                                                                                                                                                                                                                                                                                                                                                                                             ",1,calcium       ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                 ,4
13,0.041401273885350316,grilled almond barfi (sugar free)                                             ,barfi       ,"khoya, sweetener (optional), almonds (crushed)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",1,calcium       ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                               ,4
14,0.044585987261146494,baked shankarpali recipe                                                      ,shankarpali ,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee                                                                                                                                                                                                                                                                                                                                                                                                                     ",1,carbohydrates ,alkaline_diet low_fat_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                            ,2
15,0.04777070063694268,apple rabdi                                                                   ,rabdi       ,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",1,calcium       ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,2
16,0.050955414012738856,dates and nuts ladoo                                                          ,ladoo       ,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",1,vitamin_e     ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                            ,7
17,0.054140127388535034,green lentil dessert fudge                                                    ,dessert     ,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ",1,calcium       ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                           ,0
18,0.05732484076433121,cashew nut cookies                                                            ,cookie      ,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour                                                                                                                                                                                                                                                                                                                                                                           ",1,protien       ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,4
19,0.06050955414012739,almond pearls                                                                 ,almond      ,"toasted almonds, blueberries, oats, corn flakes, olive oil, salt, curry leaves, mustard seeds, cumin seeds, red chilli powder, turmeric powder, black pepper powder, ajwain, lemon juice                                                                                                                                                                                                                                                                                                                                                                              ",1,protien       ,gluten_free_diet                                                                                                                                                                        ,4
20,0.06369426751592357,hawaiin papaya salad                                                          ,salad       ,"papaya, fresh lime (juiced), watermelon balls or small squares (seedless), fresh pineapple chunks, coconut (unsweetened), vanilla flavoured yogurt (low fat)                                                                                                                                                                                                                                                                                                                                                                                                          ",1,fiber         ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                             ,4
21,0.06687898089171974,vegetable som tam salad                                                       ,salad       ,"raw papaya, carrot, french bean diamond, cherry tomato, garlic, crush mix chilli, somtam dressing, peanuts (crushed), peanuts                                                                                                                                                                                                                                                                                                                                                                                                                                         ",1,fiber         ,low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet                                                                               ,1
